Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
3.12,A2Z Infra Engineering Ltd,0,776.25,2010,Qtr 4,December,23,400,0.68,0.33,0.96,2010
0.26,AAVAS Financiers Ltd,0,1640.32,2018,Qtr 4,October,8,821,2.77,0.25,0.97,2018
1.48,Abans Financial Services Limited,0,345.6,2022,Qtr 4,December,23,270,4.1,0.4,1.1,2022
0.97,ACME Solar Holdings Limited,0,2900,2024,Qtr 4,November,13,289,3.54,3.1,2.75,2024
2,AcroPetal Technologies Ltd,1,170,2011,Qtr 1,March,10,90,1.12,1.21,1.28,2011
154.81,Acutaas Chemicals Limited,1,569.64,2021,Qtr 3,September,14,610,86.64,13.36,64.54,2021
4.39,Aditya Birla Sun Life AMC Limited,0,2768.26,2021,Qtr 4,October,11,712,10.36,3.24,5.24,2021
72,Aditya Infotech Ltd,1,1300,2025,Qtr 3,August,5,675,133.21,50.87,100.69,2025
393.1,Advanced Enzyme Technologies Ltd,1,411.49,2016,Qtr 3,August,1,896,94.03,11.67,116.02,2016
0.56,Aegis Vopak Terminals Limited,0,2800,2025,Qtr 2,June,2,235,3.3,0.77,2.09,2025
126.13,Aeroflex Industries Limited,1,351,2023,Qtr 3,August,31,108,194.73,34.41,97.11,2023
1.33,Aether Industries,0,808.04,2022,Qtr 2,June,3,642,17.57,0.59,2.91,2022
5.05,Afcons Infrastructure Limited,0,5430,2024,Qtr 4,November,4,463,3.79,0.94,2.63,2024
198.69,Affle (India) Ltd,1,459,2019,Qtr 3,August,8,745,55.31,10.96,86.49,2019
25.61,AGS Transact Technologies Limited,0,680,2022,Qtr 1,January,31,175,2.68,3.08,7.79,2022
6.46,Ajax Engineering Limited,0,1268.88,2025,Qtr 1,February,17,629,14.41,1.92,6.44,2025
42.21,Akums Drugs and Pharmaceuticals Limited,0,1856.74,2024,Qtr 3,August,6,679,90.09,21.3,63.56,2024
122.54,Alivus Life Sciences Limited,0,1513.6,2021,Qtr 3,August,6,720,36.97,14.63,44.17,2021
129.96,Alkem Laboratories Ltd,1,1347.76,2015,Qtr 4,December,23,1050,57.19,3.17,44.29,2015
32.4,Allied Blenders and Distillers Limited,0,1500,2024,Qtr 3,July,2,281,50.37,4.51,23.55,2024
519.26,Amber Enterprises India Ltd,1,599.57,2018,Qtr 1,January,30,859,174.99,11.65,165.42,2018
25.42,Anand Rathi Wealth Limited,0,659.38,2021,Qtr 4,December,14,550,2.5,7.76,9.78,2021
0.11,Angel One Ltd,0,600,2020,Qtr 4,October,5,306,3.07,1.83,1.81,2020
42.36,Anthem Biosciences Limited,1,3395,2025,Qtr 3,July,21,570,182.65,5.64,63.86,2025
0.26,Antony Waste Handling Cell Ltd,1,299.99,2021,Qtr 1,January,1,315,0.89,0.37,0.49,2021
97.42,Anupam Rasayan India Limited,0,760,2021,Qtr 1,March,24,555,65.74,10.77,44.06,2021
52.41,Apeejay Surrendra Group (conglomerate),1,920,2024,Qtr 1,February,12,155,75.14,30.35,59.66,2024
7.82,Apex Frozen Foods Ltd,0,152.25,2017,Qtr 3,September,4,175,1.91,8.53,6.14,2017
958.07,Apollo Micro Systems Ltd,1,156,2018,Qtr 1,January,22,275,101.93,40.19,248.51,2018
33.91,Aptus Value Housing Finance India Limited,0,2780.05,2021,Qtr 3,August,24,353,32.41,1.35,17.2,2021
5.07,Aqua Logistics Limited,0,150,2010,Qtr 1,February,23,220,0.26,3,1.94,2010
14.9,Archean Chemical Industries Limited,0,1462.31,2022,Qtr 4,November,21,407,48.91,9.96,32.23,2022
3.14,Arisinfra Solutions Limited,0,499.6,2025,Qtr 2,June,25,222,1.42,5.59,2.65,2025
163.02,Arkade Developers Limited,1,410,2024,Qtr 3,September,24,128,163.16,51.39,106.83,2024
124.53,ARSS Infrastructure Projects Limited,1,103,2010,Qtr 1,March,3,450,49.34,18.55,47.62,2010
13.91,Ashoka Buildcon Ltd,0,225,2010,Qtr 4,October,14,324,25.52,3.46,15.94,2010
35.47,ASK Automotive Limited,0,833.91,2023,Qtr 4,November,15,282,142.41,5.7,51.14,2023
0.55,Aster DM Healthcare Ltd,0,980.14,2018,Qtr 1,February,26,190,2.1,1.18,1.31,2018
