Offer_Price,Total_Shares,QIB,HNI,RII,Issue_Size,Ipo_Success,,
1021.27,2341723,1269119,377274,695330,2391531448,1,,
1286.21,4818673,2129560,932181,1756932,6197825399,1,,
1326.51,3413035,1915906,767510,729619,4527425058,1,,
750.34,2932675,1515033,533714,883928,2200503360,1,,
69.03,3542505,1686499,901830,954176,244539120.2,1,,
1374.43,1668702,649516,389777,629409,2293514090,1,,
343.72,1017474,595922,219869,201683,349726163.3,1,,
782.38,1153987,473270,251718,428999,902856349.1,1,,
596.23,4967825,2269397,502750,2195678,2961966300,1,,
1378.83,2470627,897136,467514,1105977,3406574626,1,,
632.41,2575674,776584,411543,1387547,1628881994,1,,
813.48,4208625,2445141,997703,765781,3423632265,0,,
1102.73,416422,235984,101000,79438,459201032.1,1,,
1347.26,2262399,1114917,289877,857605,3048039677,1,, 
1204.3,3771253,2043870,610400,1116983,4541719988,1,,
656.98,4434541,1502226,1062810,1869505,2913404746,1,,
417.15,3032491,1192828,904592,935071,1265003621,1,,
202.11,4155845,1608391,1113828,1433626,839937833,0,,
167.9,1962118,790636,224577,946905,329439612.2,1,,
326.62,518677,182804,136034,199839,169410281.7,1,,
838.56,985090,397176,231736,356178,826057070.4,1,,
722.57,3226703,1554397,774104,898202,2331518787,1,,
423.93,4261901,2303382,498718,1459801,1806747691,1,,
1376.13,2831614,1432888,734341,664385,3896668974,1,,
788.94,689018,364115,77860,247043,543593860.9,1,,
425.05,3558750,1097290,379159,2082301,1512646688,1,,
818.6,1733451,822736,391368,519347,1419002989,1,,
318.73,1921737,853441,471846,596450,612515234,0,,
1234.63,2313007,1041399,286860,984748,2855707832,1,,
705.8,4631778,1454633,984516,2192629,3269108912,1,,
570.42,4494822,2616681,667984,1210157,2563936365,1,,
502.66,595770,280105,146276,169389,299469748.2,1,,
1387.4,240143,114418,41163,84562,333174398.2,1,,
642.84,4194664,2506493,1098253,589918,2696497806,0,,
999.89,1738926,785255,213916,739755,1738734718,0,,
809.54,728674,422573,172558,133543,589890750,1,,
220.89,3846436,1183009,855043,1808384,849639248,1,,
370.34,4434416,1535819,1164342,1734255,1642241621,1,,
896.21,1969819,754424,232000,983395,1765371486,1,,
671.57,4730790,1536445,1296227,1898118,3177056640,0,,
1262.24,3763767,1814767,710874,1238126,4750777258,0,,
209.02,2493191,1384727,569592,538872,521126782.8,1,,
818.45,3044838,1184799,870476,989563,2492047661,1,,
1308.61,3603184,2153170,931452,518562,4715162614,1,,
343,2440115,1441574,635464,363077,836959445,1,,
199.46,866058,485437,103482,277139,172743928.7,0,,
407.26,1047489,604214,308249,135026,426600370.1,1,,
433.38,4725936,2450834,570910,1704192,2048126144,1,,
515.51,4143515,1428259,1040913,1674343,2136023418,1,,
589.47,2760981,1408041,304922,1048018,1627515470,1,,
960.54,4109738,1348648,914871,1846219,3947567739,1,,
476.96,1812064,573325,326976,911763,864282045.4,1,,
1078.22,3022394,1261109,585008,1176277,3258805659,1,,
432.3,2915735,906446,641483,1367806,1260472241,0,,
1433.55,4274184,2285186,677041,1311957,6127256473,1,,
53.26,1035314,499704,189971,345639,55140823.64,1,,
765.81,3060735,1246477,848122,966136,2343941470,1,,
242.02,3032944,1340799,890435,801710,734033106.9,1,,
1461.29,1438304,803894,307148,327262,2101779252,1,,
383.06,957969,397903,261795,298271,366959605.1,1,,
1032.39,3400254,1030748,821873,1547633,3510388227,0,,
1104.27,3848908,1627760,892753,1328395,4250233637,1,,
863.03,856105,297599,89941,468565,738844298.2,1,,
1435.06,2718446,1298349,718714,701383,3901133117,1,,
819.05,2043622,729986,266135,1047501,1673828599,1,,
62.69,2366455,1074864,703886,587705,148353064,1,,
254.4,2891123,1014535,842269,1034319,735501691.2,1,,
472.97,2209610,1083400,454601,671609,1045079242,1,,
1215.37,2782133,841426,776058,1164649,3381320984,1,,
1411.69,678867,258373,116109,304385,958349755.2,0,,
638.45,3695904,2105260,629636,961008,2359649909,0,,
890.34,2411101,1126075,645555,639471,2146699664,1,,
1491.85,3269252,1504989,370759,1393504,4877233596,1,,
1468.78,1998677,898213,325332,775132,2935616804,1,,
952.5,4079501,2141098,420079,1518324,3885724703,0,,
65.39,532051,165590,72637,293824,34790814.89,1,,
331.74,643350,370000,157915,115435,213424929,0,,
343.57,133095,62410,33464,37221,45727449.15,1,,
316.45,3380577,1833555,815371,731651,1069783592,0,,
883.05,1225345,574225,354155,296965,1082040902,1,,
1103.02,2769087,1069974,462821,1236292,3054358343,1,,
1343.99,2760569,1641479,410321,708769,3710177130,1,,
1476.1,355758,196671,38600,120487,525134383.8,1,,
1412.06,1899928,1010669,419746,469513,2682812332,1,,
626.8,574429,295553,78645,200231,360052097.2,1,,
725.47,430530,202677,75934,151919,312336599.1,0,,
1047.83,4134198,1281006,698328,2154864,4331936690,1,,
159.43,2927419,1422493,380069,1124857,466718411.2,1,,
747.64,4730256,2597782,1133911,998563,3536528596,1,,
154.44,3346390,1936264,859231,550895,516816471.6,0,,
1205.83,4828391,1543793,1025560,2259038,5822218720,1,,
1139.16,212171,121687,36765,53719,241696716.4,1,,
457.56,135443,43763,26830,64850,61973299.08,1,,
526.88,4467517,1404901,1195620,1866996,2353845357,1,,
1408.34,3364174,1421263,408503,1534408,4737900811,1,,
295.83,3797902,1886430,986545,924927,1123533349,0,,
419.92,1663277,750912,424423,487942,698443277.8,1,,
715.04,1341924,724396,254823,362705,959529337,0,,
1368.39,3531027,1301727,720930,1508370,4831822037,0,,
1360.32,1763055,745311,311871,705873,2398318978,1,,
545.31,2854477,1370808,321476,1162193,1556574853,0,,
258.58,3482335,1972714,626279,883342,900462184.3,0,,
450.29,4703335,2091465,697983,1913887,2117864717,1,,
1080.63,4021754,1249475,1063252,1709027,4346028025,0,,
1004.9,2487221,1024462,654383,808376,2499408383,0,,
1090.83,2550394,1302730,479124,768540,2782046287,1,,
910.85,4767387,2388822,1398792,979773,4342374449,1,,
401.78,3731293,1396102,760391,1574800,1499158902,0,,
249.47,2741048,1347233,599730,794085,683809244.6,1,,
534.54,3848688,2076490,1008598,763600,2057277684,1,,
771.49,3501070,1351770,1016824,1132476,2701040494,1,,
823.46,3344859,1383921,405104,1555834,2754357592,1,,
1213.69,1834890,721539,528605,584746,2226987644,1,,
683.2,3755027,1276424,995560,1483043,2565434446,1,,
119.53,3733527,1492678,480321,1760528,446268482.3,0,,
1401.35,4659005,2274009,898029,1486967,6528896657,1,,
1181.85,4498908,1994502,967959,1536447,5317034420,1,,
773.14,2038657,1028582,420727,589348,1576167273,1,,
1245.77,1752625,1046425,417607,288593,2183367646,0,,
834.21,2714014,888336,480389,1345289,2264057619,1,,
1458.56,3799352,1813882,715735,1269735,5541582853,1,,
192.16,1650615,835264,171651,643700,317182178.4,1,,
276.41,3686996,1947956,421630,1317410,1019122564,1,,
1109.99,2959250,1657910,821025,480315,3284737908,0,,
1153.06,3178861,1897752,780386,500723,3665417465,1,,
1171.19,1386388,804779,195265,386344,1623723762,1,,
195.1,544383,268454,102426,173503,106209123.3,1,,
1300.92,2207025,729771,449427,1027827,2871162963,1,,
1061.34,2883669,1655372,764633,463664,3060553256,1,,
60.07,1403117,668477,239297,495343,84285238.19,0,,
438,288891,108759,52558,127574,126534258,1,,
1313.94,4707280,2352546,1039361,1315373,6185083483,0,,
1405.61,507362,229865,69593,207904,713153100.8,1,,
133.39,1701137,620197,252529,828411,226914664.4,0,,
1284,4078447,1804866,630868,1642713,5236725948,1,,
1423.03,4794998,1754955,957913,2082130,6823426004,1,,
445.74,174802,94750,31429,48623,77916243.48,1,,
79.84,4245169,1818745,451666,1974758,338934293,1,,
940.13,1035111,498047,126825,410239,973138904.4,1,,
1475.57,344484,203743,65255,75486,508310255.9,1,,
186.57,592761,353021,145987,93753,110591419.8,1,,
1321.79,2636365,1151558,661713,823094,3484720893,1,,
622.03,3159698,1350902,830043,978753,1965426947,1,,
578.07,4835575,2031252,1103380,1700943,2795300840,1,,
679.86,1283226,669171,212633,401422,872414028.4,0,,
103.29,4592742,1526591,616629,2449522,474384321.2,1,,
177.79,243759,81802,53596,108361,43337912.61,0,,
1016.13,2509395,1013783,628549,867063,2549871541,1,,
935.85,558831,312374,59735,186722,522981991.4,0,,
102.83,1423869,538777,390884,494208,146416449.3,1,,
1248.6,1919863,1142497,216608,560758,2397140942,0,,
240.1,4155699,1835959,981844,1337896,997783329.9,1,,
909.43,1033277,566998,161399,304880,939693102.1,0,,
1176.94,4371018,2115674,1158998,1096346,5144425925,1,,
1468.72,2652443,1253777,476644,922022,3895696083,1,,
1365.03,2957666,1330474,574052,1053140,4037302820,1,,
410.86,1863313,1036665,212336,614312,765560779.2,1,,
1076.69,410516,153894,94130,162492,441998472,1,,
124.25,2613271,840898,560947,1211426,324698921.8,1,,
1267.85,3747608,1570287,1067444,1109877,4751404803,1,,
969.9,3106348,1203506,881516,1021326,3012846925,1,,
943.21,1850740,789634,317855,743251,1745636475,1,,
903.64,2674372,874596,472153,1327623,2416669514,1,,
1031.89,1226355,543371,157309,525675,1265463461,1,,
882.2,359317,193058,84055,82204,316989457.4,1,,
301.72,1710054,809297,398149,502608,515957492.9,1,,
569.06,4910198,2633444,1206900,1069854,2794197274,1,,
1081.51,2122216,1172470,226454,723292,2295197826,1,,
1172.22,597902,350558,91734,155610,700872682.4,1,,
791.2,3133497,1254617,887821,991059,2479222826,1,,
406.21,2262074,860647,575885,825542,918877079.5,1,,
930.53,4898419,2461883,956052,1480484,4558125832,1,,
1058.99,1664307,720094,219833,724380,1762484470,1,,
332.79,1352702,579960,346068,426674,450165698.6,1,,
667.27,2968437,1466101,784349,717987,1980748957,1,,
1456.16,644214,227887,78296,338031,938078658.2,1,,
188.54,1854159,883844,218385,751930,349583137.9,1,,
1328.39,4875024,2558242,837210,1479572,6475933131,0,,
675.14,3834934,1864881,855574,1114479,2589117341,1,,
543.42,1332880,472919,312874,547087,724313649.6,0,,
844.23,562971,183831,161810,217330,475277007.3,0,,
736.58,4766506,2333698,864314,1568494,3510912989,1,,
948.06,2177041,829654,331537,1015850,2063965490,0,,
122.63,2854095,1214063,678764,961268,349997669.8,1,,
1485.26,477935,203299,59029,215607,709857738.1,1,,
748.12,470228,255788,128198,86242,351786971.4,1,,
67.75,1897778,872662,224430,800686,128574459.5,1,,
987.54,3239843,1778790,526881,934172,3199474556,1,,
551.06,1737428,859123,475044,403261,957427073.7,0,,
1108.56,712383,309874,121385,281124,789719298.5,0,,
183.31,3522217,1559414,507426,1455377,645657598.3,1,,
87.67,2108267,770529,354992,982746,184831767.9,0,,
