HNI,IPO Success,Issue Size,Offer Price,QIB,RII,Total
0,0,1150,328,0,0,0
0,1,3200,100,0,0,3.61
0,1,4500,275,0,0,0
0.02,1,29.6,74,0,3.35,1.18
0.03,0,4113.13,1215,1.73,0.39,0.99
0.06,1,1800,360,0,0.52,0.11
0.07,1,1282.52,744,0.29,0.87,0.53
0.09,0,174.71,181,1.01,0.39,0.75
0.11,0,600,306,3.07,1.83,1.81
0.12,0,9466.98,800,2.34,0.11,1.19
0.12,1,1038.68,56,3.89,0.12,1.19
0.13,0,435.02,90,1.96,0.72,1.21
0.15,1,2700,100,2.88,0.4,1.68
0.17,1,65.18,10,1.04,1.82,1.18
0.18,0,543.06,750,2.44,2.33,1.9
0.19,0,6400.44,900,1.03,1.1,0.79
0.2,1,8750,708,9.09,0.11,2.66
0.21,0,238.95,502,3.65,1.63,1.9
0.21,0,1200.29,577,1.65,5.92,2.03
0.22,0,405,54,2.54,0.16,1.16
0.22,0,433.28,28,2.85,1.18,1.7
0.22,0,517.6,33,3.91,2.08,1.95
0.22,0,1600,1258,2.28,1.33,1.53
0.22,0,9967.3,300,2.28,0.22,1.25
0.22,0,11175.8,912,2.25,0.63,1.38
0.22,1,29.48,70,0,4.38,1.57
0.23,1,309.38,80,1.66,2.39,0.71
0.23,1,1500,366,4.17,1.36,2.59
0.24,0,18300,2150,2.79,1.66,1.89
0.24,1,1114.72,273,2.76,1.66,1.86
0.24,1,1200,183,4.32,0.08,2.26
0.26,0,1640.32,821,2.77,0.25,0.97
0.26,1,299.99,315,0.89,0.37,0.49
0.27,1,5235,487,2.66,0.31,0.39
0.29,0,4172.76,220,2.84,0.19,1.3
0.31,0,343.59,118,1.81,0.24,1.02
0.32,1,1501.73,42,3.01,0.8,0.83
0.34,0,172.41,127,3.68,0.38,2.07
0.35,0,270.23,172,3.39,0.51,1.65
0.36,0,3514.85,520,1.04,0.88,0.78
0.38,0,227,256,6.52,0.38,2.92
0.38,0,400,320,1.98,1.16,1.4
0.38,1,55,55,1.15,1.13,1.03
0.39,1,5550,291,3.46,1.57,2.28
0.4,0,3027.26,402,4.64,0.41,1.55
0.41,0,496.88,985,1.88,18.16,4.44
0.41,0,865,436,3.57,0.84,2.21
0.41,1,468.85,490,7.45,0.38,4
0.41,1,11327.4,390,6.02,1.14,3.59
0.42,0,504.8,248,4.34,2.98,2.82
0.42,0,775,142,2.05,2.11,1.61
0.42,0,1112.5,445,4.94,0.82,1.86
0.43,0,649.64,218,2.36,0.83,1.56
0.43,1,8478.75,201,2.18,0.16,1.2
0.45,1,239.12,268,1,0.54,0.66
0.45,1,1741.16,603,4.68,3.51,3.29
0.47,0,740,65,1.05,4.7,1.55
0.48,0,776.69,257,2.16,3.1,1.88
0.5,0,952.79,428,1.5,1.41,1.3
0.51,1,6479.55,1500,6.4,0.24,2.06
0.55,0,980.14,190,2.1,1.18,1.31
0.55,0,1189.85,856,3.11,0.09,1.05
0.56,0,2800,235,3.3,0.77,2.09
0.6,0,1250,704,2.21,0.71,1.12
0.6,0,27858.8,1960,6.97,0.5,2.37
0.61,0,1588.51,474,1.77,0.11,0.7
0.63,1,15000,12,1.9,0.47,0.93
0.64,0,900,47,2.09,0.18,1.07
0.65,1,488.44,378,4.51,0.28,1.56
0.66,0,601.55,295,1.97,1.05,1.23
0.66,0,5000,570,4.23,0.73,1.71
0.66,1,256.64,94,1.01,0.21,0.53
0.66,1,2980.8,321,1.7,1.78,1.43
0.68,1,2200,74,2.06,2.73,1.8
0.7,0,374.59,180,1.17,1.37,1.11
0.7,1,8386.4,700,12.56,0.85,3.58
0.73,0,410.19,186,2.62,2.01,1.91
0.74,1,537.94,630,1.26,0.61,0.81
0.75,1,35.55,79,0,3.96,1.5
0.76,0,402.26,878,1.06,0.32,0.61
0.8,0,477.11,19,1.36,2.93,1.83
0.81,1,10000,108,3.32,3.44,2.42
0.83,0,5700.94,661,8.17,1.23,2.98
0.85,0,640,300,4.48,1.39,2.9
0.85,0,1000.73,1650,2.56,2.61,2.28
0.89,0,2849.64,780,1.02,0.3,0.85
0.9,0,554.75,352,2.76,1.71,1.83
0.9,0,600,155,6.47,1.62,2.85
0.93,0,2159.88,554,3.34,2.32,2.31
0.93,1,36.85,110,1.02,2.5,1.53
0.94,1,60,68,2.81,6.28,4.64
0.97,0,2900,289,3.54,3.1,2.75
